id,title,one_liner,stage,idea_type,conviction,tags,links,visibility,created_at,updated_at,user_id
00000000-0000-4000-8000-000000000001,prodlog — progress log for solo founders,Track every idea from a spark to launch; log progress and share curated portfolios.,building,app,9,"[""saas"",""founder"",""productivity""]","{""docs"":"""",""repo"":""https://github.com/atensaiadmin/prodlogonline"",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000002,EnergyFabric — Industrial Tribal Knowledge Agent,"Capture, preserve and query the tribal knowledge of retiring industrial engineers (IBM ICA + Bob).",building,research,9,"[""ibm"",""watsonx"",""knowledge"",""industrial"",""ai""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",private,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000003,Nigerian Digital Travel Registry (NDTR) — multi-agency,"Multi-agency digital travel identity & border data framework for Nigeria, evolved from a position paper.",validating,paper,8,"[""nigeria"",""govtech"",""identity"",""policy""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000004,PornRecovery — recovery companion,Concept for a companion app supporting people overcoming porn addiction.,inbox,app,6,"[""health"",""recovery"",""app""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",private,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000005,Atensai — launch & company strategy,"Company setup, IP/patent, taxation and cross-border (Nigeria–Ireland) strategy for launching Atensai.",validating,writing,8,"[""atensai"",""strategy"",""business"",""ip""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",private,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000006,Atensai — deployment strategy (StudyCircle backend),Backend architecture & deployment strategy for StudyCircle and Atensai services.,inbox,research,6,"[""atensai"",""architecture"",""backend""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",private,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000007,UNALONE — companion for the lonely,"Vision/research project addressing loneliness, with research highlights and a companion product.",building,research,8,"[""mental-health"",""companion"",""research""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000008,Covenant — faith companion (UNALONE),"Christ-focused companion experience, an afterthought product inside UNALONE.",building,app,7,"[""faith"",""flutter"",""companion""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-000000000009,Finance Manager,Personal finance tracking & management app (docs + UI).,building,app,7,"[""finance"",""saas""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-00000000000a,Selah — pause & reflect,"A Flutter app for pause, meditation and reflection.",building,app,7,"[""flutter"",""meditation"",""faith""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-00000000000b,Invest Engine,Investment analysis & modeling tool (Tauri + React).,building,app,7,"[""investing"",""tauri"",""react""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-00000000000c,FEIN,Full-stack FEIN project — backend + UI. (Add your one-liner.),building,app,6,"[""fullstack""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-00000000000d,StudyCircle,Study group platform (backend architecture designed).,validating,app,6,"[""education""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-00000000000e,Routesense,Route planning app. (Add your one-liner.),inbox,app,5,"[""routes"",""maps""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",summary,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
00000000-0000-4000-8000-00000000000f,Pan Ocean — industrial SCADA & tribal knowledge,Gas-plant SCADA & operational knowledge-retention research from Pan Ocean Oil experience.,inbox,research,6,"[""oil-gas"",""scada"",""knowledge""]","{""docs"":"""",""repo"":"""",""deploy"":""""}",private,2026-08-04 00:00:00+00,2026-08-04 00:00:00+00,8857d2c0-7352-42e0-8779-6c41de3c158f
608d11d7-2a1b-45e9-a9fe-9818d04160c7,Hearth,,inbox,app,5,[],"{""docs"":null,""repo"":""https://github.com/atensaiadmin/atensaifinancemanager"",""deploy"":null}",docs,2026-05-03 20:53:33+00,2026-08-02 19:42:19.523172+00,8857d2c0-7352-42e0-8779-6c41de3c158f
